name,followers,follow,text,source,gender
Adamking_fcc,26,680,有病病？妈的准备睡了气不打一处来, iPhone客户端, f
Adamnc,131,117,疯了吧是要提高离婚率🐴, 前置双摄vivo X9s, f
AdaMorin,1151,1171,老师：我要请个假我要去结婚, iPhone 8 Plus, f
adangirl,227,243,高中毕业就结婚？带着小孩上大学？往后延还说的过去, HUAWEI nova 3i, f
adore日日居,29,139,文艺复兴, 微博 HTML5 版, f
adottat,75,271,sb委员[費解], iPhone 8, f
Aframikadu,59,249,可怕:不合适, Share微博客户端, f
ag瑜瑜,143,62,None, OPPO超视野全面屏R15, f
AHao_cool,1065,110,脑残, 小米6X 拍人更美, m
Aha甜呀,234,450,魔幻主义，这不是治标不治本的方法么, Android, f
Ahckeusbgaikadanwoher,549,93,so fuxking Gilead and funny aha., iPhone, f
AhMaraL_,697,573,不是？十八岁前不让人早恋 该教的性教育藏着掖着不教 十八岁后就让人结婚？？？闹呢？（顺便 现在的结婚年龄在这放着结婚的人数也在减少 房子价格不变 工作难找 钱难赚 照样不会因为你降低了年龄就增多 反而贫困地区的小女孩们被迫提早结婚的年龄倒是提前了呢, iPhone客户端, f
Ahri劉劉,208,215,没结婚的我负责任的告诉砖家，调了我也不结，结了我也不生。, iPhone客户端, f
A_i_a_l,118,239,:先把刑事责任年龄降低吧, HUAWEI Mate 20, f
aiaYYYYYY,412,671,开玩笑吧？那以后高中谈恋爱也制止不了了？毕业人家满十八了, iPhone客户端, f
--Ailcia,119,208,我今年也是刚18岁啊，还要上大学的，那么早结婚都还没有经济稳定来源，怎么结啊，加上还没找到，我觉得这个不太好吧，到时候有些人一冲动结了其实是不和的又离婚，我觉得大多数到时候离婚率会很高的, 小米手机4, f
aileyang201506,150,42,None, iPhone客户端, f
aimer夏奈,48,171,不可以, HUAWEI P30, m
Aimyon--i,36,76,结婚？不可能结婚的, 荣耀10 AI变色更潮美, f
Airo乔乔,166,481,我感觉，现在很多人结不结婚，和法定结婚年龄是多少没多大关系……该早结婚的还是早结婚了……早点落实一下青年人群的生活成本降低问题，可能会让大家有个早点结婚边工作边享受生活的想法……现在这样高速运转，很多人连谈恋爱的时间都没有，还有时间结婚？, Android, f
Airyzo_随缘,358,447,要不调成出生就能结婚？结婚年龄不受限制？多自由~保证孩子一大堆，人口普查都忙不过来，犄角旮旯儿全是娃娃，其中还好几个领证儿的, iPhone客户端, f
AIS-李不可爱,42,32,如同儿戏, iPad客户端, f
aiy银子,137,223,应该上调才对，女22，男24，长大了才会清楚的知道是否选择婚姻，自己都是孩子，不考虑清楚随便结婚，以后离婚率变高, iPhone客户端, f
AIZM9,1558,617,是不是有病啊 自己都没成熟就结婚生孩子 越活越古代了, 滴滴滴的iPhone X, f
AI_闭关中,401,525,不愧是专家, Weibo.intl, f
ajiao520-,11,82,这砖家脑子里装的是屎⑧，饮鸩止渴？？？, 红米Redmi, f
Akashic_,83,108,服了。高中时期都还算早恋，18周岁可以结婚了？, , m
AKB48-苏煜,347,200,这是领证年龄的问题吗？, Android客户端, f
Akira_yuzuki,18,333,滚！！！, nova4自拍极点全面屏, f
akira心怀荣耀,197,835,今日份迷惑, 荣耀V20 4800万3D相机, m
Aki纪枢严_,1361,254,十八岁心智不成熟，国内还缺少性教育，有的父母抚养小孩本身就力不从心，这群孩子早结婚生育了，难道是打算边上学边带娃？那么经济又是压垮在自己父母身上的。这么早结婚离婚率和单亲家庭故事一定超标, iPhone客户端, f
AKKK-47,284,399,:感觉有人提议生孩子高考加分的日子不远了……, 认真生活的Android, f
AkvyNows_,160,146,十八岁按道理来说还在上大学或者高中好吧，没有经济收入，闪婚闪离吗？真的不想结婚的人，你再怎能调也没有用。, Android客户端, f
AK蔓蔓,39,117,瞎扯，那么早结婚干嘛?连自己都养不活, vivo X20全面屏手机, f
Alan和丫头,1684,1037,None, 朱一龙的小笼包, f
Alchico寻,131,187,??尚且都还是个孩子，怎么抚育下一代?, 前置双摄vivo X9, f
alexie_z,443,695,是了:感觉有人提议生孩子高考加分的日子不远了……, 张云雷V+, m
Alex-深度学习,780,998,为什么有委员刚提出下调法定婚龄，范冰冰就宣布离婚？急啥呢！, HUAWEI Mate 9, m
Aliccccccccce,202,1707,唉:爱咋咋地，就这个房价这个物价，改成5岁也没啥用，很多人还是不想结婚的。, iPhone客户端, f
Aliceeeeeeee_,299,1481,呵，我们需要的是调年龄么？我们需要的是发对象～, iPhone客户端, f
Alicia_2019,43,169,十二万分同意。起码可以考虑对30岁以上女性开这个口子。 生孩子对女性来说是30几岁以后就开始变得越来越困难的事，决定和一个陌生人一起过几十年却是30几岁以前可能无法做出慎重决定的事，这太tm矛盾了。:法律应该给为非婚生育扫平障碍，结婚不一定要生育，婚姻也不应该是生育的必要条件。, iPhone客户端, f
Alina-18-,105,177,法定结婚年龄下调至18？？？这个年纪算早的话也就高中毕业吧～18岁可以结婚的话，那是不是可以理解为18岁之前就可以谈恋爱，不算早恋，不算违反学校早恋规定？18岁自己都还是个孩子～如果真的结婚了能不能承担起家庭的责任～再者，有了孩子抚养不了，那父母辈的岂不是既要养孩子又要养孩子的孩子？, 告别不快vivo V3Max, f
ALIN竹林清风,13456,2889,None, 熊猫iPhone客户端, m
Alkalemia-,113,188,国际上的结婚年龄普遍比我们国家低所以考虑降低法定结婚年龄，国外十五六岁dating怎么不说呢？性教育跟不上只能增加离婚率好吧，nc砖家→_→, Weibo.intl, f
ALLEN发明了指北针,71,137,真的是:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
_allfake_,50,28,看完每一个字，我脱口而出一句憨批, 小米6X 拍人更美, f
ALMAPPY,966,2000,:可拉倒吧您哎, iPhone客户端, f
Alnn丨椿樹,84,261,不可取，作为过来人表示22结婚都太早，根本没把心思放在家庭里, OPPO智能手机, f
alohayinyin,80,293,真的没有这个必要, Weibo.intl, f
Alone54102,9,35,None, HUAWEI P20, m
ALTERLOVEEVAK,50,424,砖家又开始拍脑袋了, iPhone, f
Amanda喜欢画画,206,1348,牛逼, 小米8青春版 潮流旗舰, f
AmelieSong,140,74,哈哈哈哈哈哈:感觉有人提议生孩子高考加分的日子不远了……, 荣耀手机 勇敢做自己, f
Amino氨基酸,347,863,:感觉有人提议生孩子高考加分的日子不远了……, 沉迷学习的iPhone XR(珊瑚色), f
Anchee周,117,166,调结婚年龄还不如完善性侵的法律，只会从数据的表面看，而不深究为什么现在结婚的人越来越少了，生育率越来越低。十八岁啊，正人生最美好的年纪，都还是孩子，为什么年纪轻轻的就要承担起家庭的责任。十八岁的我们不是应该为了自己的梦想而奋斗，踏进自己满意的大学校园里享受最后的读书时光吗？, 柔光自拍vivo X7Plus, f
Ander-hua,336,177,调你个大头鬼，本来就嫁不出去，还往下调，看老子活得太舒坦了是吗，是想让我死？, , f
An-die-ferne-Geliebte,7227,1253,我好几年前就预言到了这个操作:没错。高中毕业都能合法结婚了，那高中也别读了，准备嫁人吧。法定结婚年龄下调倒霉的不是大城市独生女，也不是最底层根本不给读书的，是那些家里没什么主意原本有可能上大学的, 熊与饲养员iPhone X, f
Andrea笔芯,225,761,现在晚婚了，我们, iPhone客户端, f
Andy-20170612,325,1014,None, 华为手机 畅享玩不停, m
Angela恬静,798,795,18岁还是孩子，怎么承担起一个家庭的责任？不能因为结婚率低生育率低就下调结婚年龄。提案的人和通过的人脑子有坑 :感觉有人提议生孩子高考加分的日子不远了…, iPhone客户端, f
Angel-晴宝,386,1103,None, 华为畅享9S超广角三摄, f
Angie22VIP,278,687,None, iPhone客户端, f
Angle-暖,30,176,想拉动内需促进消费想疯了吧！, 小米8周年旗舰手机, f
aniyomarklee,96,450,扯啥呢, vivo AI智慧拍照X21, f
anna195410,618,427,这些所谓的专家都还是人吗？？？？女性凭什么当生育工具, HUAWEI Mate 9, m
Anna_罗以,438,967,政策是鼓励，结不结是选择。挺好。, iPhone客户端, f
Anne是会飞的超人,645,300,None, HUAWEI Mate 20, f
Annie2Uok,4,141,？, iPhone客户端, m
Anningbaby,108,245,天呐 这是认真的吗 现在这样都没有对象 还要下调法定年龄 真的是老阿姨了 , vivo X20全面屏手机, f
Anroniku,211,236,？？？提早步入晚婚的人数扩大？离婚率上升？？？, Share微博客户端, f
aoxiang24456,18,146,None, OPPO智能手机, m
Apocalypse9,153,762,十八岁以前禁止早恋，否则全校通报批评； 十八岁以后尽早结婚，否则卵子精子浪费。, HUAWEI nova 青春版, f
apowerrenee,398,196,先说说把负刑事责任的年龄调低的事儿吧, iPad Pro, f
April-00-,109,268,非蠢即……坏！, iPhone客户端, m
Aprtio,72,149,降低法定婚龄就能多生孩子吗？？？砖家的脑子是瓦特了女生是生育机器吗，要孩子不会出政策降低养孩子的负担吗就学区房而言20岁有几个人负担得起, iPhone客户端, f
APTX_4125,419,40,大半夜笑醒了:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
APTX-程程,139,509,那请问高中谈恋爱还不是早恋“老师我们是以结婚为目的的！”这样？？？？, 够快才畅快vivo X6S, f
AqRainie,95,159,None, iPhone客户端, f
ArbreArbreArbre,195,175,我25了都觉得自己还小，没做好结婚的准备想先谈两年恋爱再考虑婚姻法大事，1818岁懂啥呢？真要施行离婚率会更高吧。。。, 撒欢儿iPhone客户端, f
Archerlie,199,341,咩, HUAWEI P30, f
Archy爱星星,178,113,这个专家说话如同fangpi!你有病吧(；一_一)！你先让你的儿子孙子回国读书好不好,,Ծ^Ծ,,！说话不经过大脑！我们不敢结婚是因为年龄问题吗？拜托先普及两性知识再说吧, 荣耀9青春版 全屏四摄, f
AresAndKenvy,51,58,挺好的，不知道为什么这么多人反对.., , f
Ariel南阳街上的桃树姑娘,388,362,要紧的是性教育和少年儿童自我保护课程能不能推行，别一天到晚就想着生生生, iPhone X, f
Aries-KW,129,299,男性对家庭的抚养责任？？？, vivo X20全面屏手机, m
AriesPJS,168,353,你觉得结婚率下降是因为法定结婚年龄？我就呵呵了, HUAWEI Mate 9, f
Aries小仙女_,74,297,不多bb，砖家你🐎死了, 前置双摄vivo X9sPlus, f
-ARILIZ-,32,209,学学我们的台湾省, 前置双摄vivo X9, f
Artoo_Detoo,367,62,有啥用？18岁结婚，是有多可爱？没钱的结个皮的婚，有钱的结个屁的婚, HUAWEI Mate 10 Pro, m
artyHol,417,469,趁年轻不懂事赶紧扯证以拉高结婚率？, iPhone客户端, f
Ar囍遇你i,57,824,结婚早也有好处的, iPhone客户端, m
As2O3嘘,283,165,哈哈哈哈笑死:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
ASDFGHJKLqmzp,245,266,:多关注关注我们的教育问题吧，别闲的没事瞎捣鼓！, Samsung Galaxy S8+, f
Ashin對我回頭望,369,554,真的不懂18岁的法定结婚年龄能不能明白家的含义和责任。如果...可能他真的娶了备忘录里的人...也就没有后来了吧, 五月天签名Android, f
Ashley_漾,482,292,干脆出生就结婚算了 不 要 脸到家了！, OPPO Reno, f
Asilver--Lin,7,292,None, 红米Redmi, f
Asmte,42,204,呸, 小米5X 拍人更美, f
Aspirin_Cyn,94,393,为了割韭菜不顾一切，疯了已经, iPhone客户端, f
Athelina枫潇然,621,475,就一句话：去你马的, iPhone客户端, f
Attacker_2,353,424,意思是现在不考虑责任了？真的是放你🐴 的屁, 一只咕咕咕, m
atwodream,112,515,哈哈哈哈哈哈:感觉有人提议生孩子高考加分的日子不远了……, HUAWEI nova 2s, f
aubrey顺式作用元件,1018,1417,None, HUAWEI P20 Pro, m
aufheben-,136,428,……………………？？？, iPhone客户端, f
Augpus,12,162,已经不需要考虑对家庭的抚养义务了吗？成年前早恋对性懵懂，成年后火速结婚生子同时要打工肩负家庭和完成高等教育，冲动结婚无缓冲期冲动离婚有，孩子生下来父母没有资本负责，祸害一代又一代。, HUAWEI Mate 8, f
AugustMandy,463,463,噗 一秒想到日本 法定結婚年齡再怎麼低 整個環境讓人不想生就是不生 人口老化照來不變 這點子 抄得不夠說服力 還缺了點新意哈～～, iPhone客户端, f
Aurora_in_D,40,306,别尼玛的放狗屁了, iPhone客户端, f
AUV竹子君,43,36,现在的专家提意见都不带脑子的吗？18岁结婚是变相支持早恋吗？18岁自己都还是个孩子，怎么结婚生子？未来几年还要读本科甚至读研究生，怎么负担家庭的责任，啃老吗？生育率低难道不是因为教育成本增加，房价太贵吗？不从根本上解决问题，竟整些没用的哗众取宠，可笑至极。, OPPO超视野全面屏R15, f
AvRil丨Fishbaby,1457,2477,None, iPhone XS Max, f
Ayatori,14,13,今天依旧是让我生气的一天, 微博搜索, f
Ayeshsivshen,317,302,可是不是无性繁殖有丝分裂吗 为啥要结婚呢 结婚和生育率下降有什么关系呢 大家都是自体分裂的, iPhone客户端, f
AYIFANNA,52,220,滚, 小米6X 拍人更美, f
Ayxkaaoao,114,268,原来我已经晚婚两年了, iPad客户端, m
Ay_安扬,100,365,我们的孩子需要完整的童年 正确的三观 完善的性教育 了解自己应该成为怎样的人 了解学校外的社会 积累能让自己成为幸福正常自然人的资本 最后再去承担需要具备以上所有条件之后才能承担的婚姻和家庭的责任 而不是简单地为了后继有人而结婚生子 不会有人敢把国家的未来寄托在这样简单的后继而有的人身上, iPhone客户端, f
AZ3368,358,706,我感觉这是在阶级性的割韭菜，平民负责生，有钱人负责割剩余劳动力。, iPhone客户端, f
Azalea-Cri,225,92,很多地方可以明目张胆的卖女儿了( ^_^)／, Weibo.intl, f
azeyo,977,484,👉:感觉有人提议生孩子高考加分的日子不远了……, iPhone客户端, f
a_北落师门,329,237,不理解觉得很残忍, nova4自拍极点全面屏, f
A多多12,71,369,None, OPPO R9 Plus, m
a__山山,448,486,🙂🙂🙂🙂🙂🙂🙂🙂, 荣耀10 AI变色更潮美, f
A死人的鄞鄞宝贝,124,611,None, 小米5X 拍人更美, f
A睿推送,4496,1151,委员建议？委员的建议多了，XX还想独立呢, 微博 weibo.com, m
A闹够A,3,360,None, AI实力派 vivo Z1, m
Babel_Kazami,118,57,我觉着开骂的人多半不懂法委员这提议明显是从立法合理性角度考虑的。目前我国民法规定年满十八周岁即是完全民事行为能力人，但却规定男二十二，女二十才可结婚。这是不合理的。具有完全民事行为能力，却还不能结婚？所以像日本规定的法定结婚年龄是低于他们民法规定的完全民事责任年龄，这才正常, Android, m
Babibo_su,76,164,哇。。。。就算调到18岁，按照现在的男女青年思维，没有经济独立谁敢结婚生子？除非你家有钱，不然孩子国家带？？, Weibo.intl, f
Baby_Doraemon,636,158,None, iPhone客户端, f
Baby_Doraemon,636,158,可以上涨吗, iPhone客户端, f
Babygirl_Garcia,83,500,:我们不结婚只是因为穷, iPhone客户端, f
Baby_Vicky潞瑶,229,563,？？？18不才高三吗？？？, iPhone客户端, f
baka筱尤,90,1828,None, Weibo.intl, f
Bammmbiiiii,9,77,脑子有毒?, Weibo.intl, f
Bananaqueen1,279,1091,None, HUAWEI Mate 9, f
